Item Type,Title,Author,Death Year (AH),Kitab (كتاب),Bab (باب),Tahta Qawlihi (تحت قوله),Volume/Page (ج/ص),Hadith/Mas'alah No.,Publisher,Place,Edition,Publication Year (AH/CE),Language,Short Title,Tags
book,الأشباه والنظائر,علامہ زین الدین بن ابراہیم ابن نجیم حنفی,٩٧٠ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٣ هـ / ١٩٩٣ م,Arabic,الأشباه والنظائر,كتب فقه
book,إمداد الفتاح شرح نور الإيضاح,علامہ حسن بن عمار شرنبلالی حنفی,١٠٦٩ هـ,,,,,,دار إحياء التراث العربي,بيروت,الطبعة الأولى,١٤٢١ هـ / ٢٠٠١ م,Arabic,إمداد الفتاح,كتب فقه
book,بدائع الصنائع,امام علاؤ الدین ابو بکر بن مسعود کاسانی حنفی,٥٨٧ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٧ م,Arabic,بدائع الصنائع,كتب فقه
book,بهار شريعت,صدر الشریعہ مفتی محمد امجد علی اعظمی حنفی,١٣٦٧ هـ,,,,,,مكتبة المدينة,كراچي,,,Urdu,بهار شريعت,كتب فقه
book,البحر الرائق شرح كنز الدقائق,علامہ زین الدین بن ابراہیم ابن نجیم حنفی,٩٧٠ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤١٨ هـ / ١٩٩٧ م,Arabic,البحر الرائق,كتب فقه
book,البناية شرح الهداية,امام بدر الدین محمود بن احمد العینی حنفی,٨٥٥ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢٠ هـ / ٢٠٠٠ م,Arabic,البناية,كتب فقه
book,تحفة الفقهاء,علامہ علاؤ الدین سمرقندی حنفی,,,,,,,دار الفكر,,,,Arabic,تحفة الفقهاء,كتب فقه
book,تنقيح الفتاوى الحامدية,علامہ سید محمد امین ابن عابدین شامی حنفی,١٢٥٢ هـ,,,,,,مكتبة حقانية,پشاور,,,Arabic,تنقيح الحامدية,كتب فقه
book,التصحيح والترجيح على مختصر القدوري,علامہ قاسم بن قطلوبغا حنفی,٨٧٩ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢٣ هـ / ٢٠٠٢ م,Arabic,التصحيح والترجيح,كتب فقه
book,تبيين الحقائق شرح كنز الدقائق,علامہ فخر الدین عثمان بن علی زیلعی حنفی,٧٤٣ هـ,,,,,,دار الكتب العلمية,بيروت,الطبعة الأولى,١٤٢٠ هـ / ٢٠٠٠ م,Arabic,تبيين الحقائق,كتب فقه
